Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type,Status,Explanation,Client Order ID,Order ID
2025-09-01 20:18:51.525653+05:30 IST Asia/Kolkata,BTCUSD,1,buy,1/0,108850.5,114273,,108.8505,0.05779962,0.149,0.149,market_order,closed,,,900394652
2025-09-01 20:18:51.462481+05:30 IST Asia/Kolkata,ETHUSD,1,buy,1/0,4382.5,4600.4,,43.825,0.02327108,0.0525,0.0525,market_order,closed,,,900394651
2025-09-01 20:18:51.390753+05:30 IST Asia/Kolkata,AVAXUSD,1,buy,1/0,23.776,26.1196,,23.776,0.01262506,0.086,0.086,market_order,closed,,,900394650
2025-09-01 20:18:51.311068+05:30 IST Asia/Kolkata,POLUSD,5,sell,5/0,0.2792,0.2512,,13.96,0.00741276,0.005,0.005,market_order,closed,,,900394649
2025-09-01 20:17:44.283118+05:30 IST Asia/Kolkata,POLUSD,5,buy,5/0,0.2791,0.3068,,13.955,0.00741011,0,0,market_order,closed,,,900392182
2025-09-01 20:14:15.322154+05:30 IST Asia/Kolkata,AVAXUSD,1,sell,1/0,23.862,21.4663,,23.862,0.01267073,0,0,market_order,closed,,,900385802
2025-09-01 20:13:58.931209+05:30 IST Asia/Kolkata,ETHUSD,1,sell,1/0,4387.75,4168.05,,43.8775,0.02329896,0,0,market_order,closed,,,900385449
2025-09-01 20:13:49.054982+05:30 IST Asia/Kolkata,BTCUSD,1,sell,1/0,108999.5,103551.5,,108.9995,0.05787874,0,0,market_order,closed,,,900385186
2025-09-01 13:41:49.016129+05:30 IST Asia/Kolkata,BTCUSD,1,sell,1/0,109479,104025.5,,109.479,0.05813335,1.9525,1.9525,market_order,closed,,,899614448
2025-09-01 13:41:48.910135+05:30 IST Asia/Kolkata,ETHUSD,2,sell,2/0,4476.85,4254.65,,89.537,0.04754415,1.5725,1.5725,market_order,closed,,,899614447
2025-09-01 13:41:48.802107+05:30 IST Asia/Kolkata,DOGEUSD,1,sell,1/0,0.21722,0.195576,,21.722,0.01153439,0.714,0.714,market_order,closed,,,899614446
2025-09-01 13:41:48.617417+05:30 IST Asia/Kolkata,AVAXUSD,1,sell,1/0,23.888,21.5013,,23.888,0.01268453,0.748,0.748,market_order,closed,,,899614445
2025-09-01 13:41:48.688612+05:30 IST Asia/Kolkata,XRPUSD,9,sell,9/0,2.8024,2.5222,,25.2216,0.01339267,0.55,0.55,market_order,closed,,,899614444
2025-09-01 13:41:48.478880+05:30 IST Asia/Kolkata,LINKUSD,1,sell,1/0,23.615,21.276,,23.615,0.01253957,0.55,0.55,market_order,closed,,,899614443
2025-09-01 13:41:48.546716+05:30 IST Asia/Kolkata,UNIUSD,4,sell,4/0,9.756,8.7835,,39.024,0.02072175,1.402,1.402,market_order,closed,,,899614442
2025-09-01 13:41:48.414617+05:30 IST Asia/Kolkata,ALGOUSD,101,sell,101/0,0.2354,0.212,,23.7754,0.01262474,0.7776,0.7776,market_order,closed,,,899614441
2025-09-01 13:41:48.304598+05:30 IST Asia/Kolkata,FLOKIUSD,5,sell,5/0,0.00009366,0.00008435,,4.683,0.00248668,0.159,0.159,market_order,closed,,,899614440
2025-09-01 09:33:12.419433+05:30 IST Asia/Kolkata,UNIUSD,2,buy,2/0,9.392,10.3319,,18.784,0.00997431,0,0,market_order,closed,,,899195847
2025-09-01 09:32:42.530485+05:30 IST Asia/Kolkata,ETHUSD,1,buy,1/0,4401.75,4621.4,,44.0175,0.0233733,0,0,market_order,closed,,,899195375
2025-09-01 09:19:36.108314+05:30 IST Asia/Kolkata,XRPUSD,8,buy,8/0,2.7409,3.0151,,21.9272,0.01164335,0,0,market_order,closed,,,899179720
2025-09-01 09:19:06.318727+05:30 IST Asia/Kolkata,LINKUSD,1,buy,1/0,23.065,25.363,,23.065,0.01224752,0,0,market_order,closed,,,899179265
2025-09-01 09:18:20.547332+05:30 IST Asia/Kolkata,FLOKIUSD,5,buy,5/0,0.00009048,0.00009945,,4.524,0.00240225,0,0,market_order,closed,,,899178569
2025-09-01 09:17:54.478553+05:30 IST Asia/Kolkata,ALGOUSD,100,buy,100/0,0.2277,0.2502,,22.77,0.01209087,0,0,market_order,closed,,,899178052
2025-09-01 09:17:16.349185+05:30 IST Asia/Kolkata,UNIUSD,2,buy,2/0,9.419,10.3626,,18.838,0.01000298,0,0,market_order,closed,,,899177369
2025-09-01 09:16:58.390703+05:30 IST Asia/Kolkata,ALGOUSD,1,buy,1/0,0.2278,0.2503,,0.2278,0.00012097,0,0,market_order,closed,,,899176996
2025-09-01 09:16:37.495747+05:30 IST Asia/Kolkata,XRPUSD,1,buy,1/0,2.7444,3.0185,,2.7444,0.00145728,0,0,market_order,closed,,,899176539
2025-09-01 09:16:29.652188+05:30 IST Asia/Kolkata,DOGEUSD,1,buy,1/0,0.21008,0.231045,,21.008,0.01115525,0,0,market_order,closed,,,899176377
2025-09-01 09:16:15.256377+05:30 IST Asia/Kolkata,AVAXUSD,1,buy,1/0,23.14,25.4309,,23.14,0.01228734,0,0,market_order,closed,,,899175996
2025-09-01 09:16:01.466578+05:30 IST Asia/Kolkata,ETHUSD,1,buy,1/0,4394.7,4613.8,,43.947,0.02333586,0,0,market_order,closed,,,899175675
2025-09-01 09:15:53.426916+05:30 IST Asia/Kolkata,BTCUSD,1,buy,1/0,107526.5,112893,,107.5265,0.05709658,0,0,market_order,closed,,,899175498
2025-08-31 15:17:46.207163+05:30 IST Asia/Kolkata,POLUSD,15,buy,15/0,0.2761,0.3034,,41.415,0.02199137,-0.765,-0.765,market_order,closed,,,897926798
2025-08-31 12:52:39.471611+05:30 IST Asia/Kolkata,POLUSD,15,sell,15/0,0.271,0.2444,,40.65,0.02158515,0,0,market_order,closed,,,897702071
2025-08-31 10:11:57.424242+05:30 IST Asia/Kolkata,SOLUSD,1,sell,1/0,204.04,183.6563,,204.04,0.10834524,0,0,market_order,closed,,,897533656
2025-08-31 10:29:30.532413+05:30 IST Asia/Kolkata,SOLUSD,2,buy,2/0,204.381,224.788,204.3598,408.762,0.21705263,0.319,0.319,market_order,closed,,,897524579
2025-08-31 09:35:51.679154+05:30 IST Asia/Kolkata,SOLUSD,1,sell,1/0,205.041,184.5561,,205.041,0.10887678,0,0,market_order,closed,,,897475993
2025-08-31 00:53:51.217909+05:30 IST Asia/Kolkata,ETHUSD,1,sell,1/0,4340.6,4330.65,4341.510816,43.406,0.02304859,-0.1175,-0.1175,limit_order,closed,,,897013794
2025-08-31 00:07:34.516046+05:30 IST Asia/Kolkata,ETHUSD,1,buy,1/0,4352.35,4569.7,,43.5235,0.02311098,0,0,market_order,closed,,,896960687
